facil,SiteCode  ,Storer         ,Sku                 ,Description                                                 ,<= 15 Days,>15 and <=30 Days   ,>30 and <=45 Days   ,>45 and <=60 Days   ,>60 and <=90 Days   ,>90 and <=120 Days  ,>120 and <=150 Days ,>150 and <=180 Days ,>180 and <=210 Days ,>210 Days 
DLNSW,DMI       ,DELL           ,3JKM1               ,KIT STND W/CVR AIO USFF                                     ,0         ,0                   ,0                   ,41                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLWA ,DMI       ,DELL           ,3JKM1               ,KIT STND W/CVR AIO USFF                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,4         
DLAKL,DMI       ,DELL           ,3MKF3               ,KIT KYBD 80 USINTL T14S2 APJ 2                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,3MKF3               ,KIT KYBD 80 USINTL T14S2 APJ 2                              ,479       ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,3ND42               ,FGA OPTI DT 9020 BTS                                        ,61        ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLAKL,DMI       ,DELL           ,3NPPR               ,DIS 23 E2314H BLK ANZ                                       ,0         ,0                   ,0                   ,0                   ,3                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,3P18G               ,PLMRST KYBD PLSTC KB216-B PMX                               ,180       ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,3PD32               ,CSN LBL SYS HELPDESK NDBM 7014                              ,0         ,0                   ,0                   ,0                   ,257                 ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,VMI       ,M1100          ,3RK5Y               ,KIT PTR FAXKIT1 WW C5765DN                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,13        
DLNSW,DMI       ,DELL           ,3W1CM               ,CSN 8021 LBL AT MIAS NEW VDN1C                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,20        
DLNSW,DMI       ,DELL           ,3WPNC               ,KIT KYBD 104 USB US KB813                                   ,0         ,1260                ,0                   ,1540                ,0                   ,0                   ,0                   ,0                   ,0                   ,497       
DLNSW,DMI       ,DELL           ,3WTMD               ,KIT HDPHN WW UC300                                          ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,24        
DLNSW,DMI       ,DELL           ,3X5C2               ,FGA OPTI DT 9020 BTS                                        ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,10        
DLAKL,DMI       ,DELL           ,3XKWX               ,ASSY DS CALDERA ANW AUS                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,51        
DLNSW,DMI       ,DELL           ,3XKWX               ,ASSY DS CALDERA ANW AUS                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,1069      
DLNSW,DMI       ,DELL           ,44HYF               ,CSN LBL SYS AST NDBM 7014                                   ,0         ,0                   ,0                   ,0                   ,112                 ,0                   ,0                   ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,45HRD               ,KIT MSE/KYBD WRLES US KM714 WW                              ,0         ,1920                ,550                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,2         
DLWA ,DMI       ,DELL           ,45HRD               ,KIT MSE/KYBD WRLES US KM714 WW                              ,1         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,8         
DLAKL,DMI       ,DELL           ,47GMH               ,CTRG TONR 6K BLK S2810                                      ,0         ,0                   ,0                   ,0                   ,0                   ,7                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,47GMH               ,CTRG TONR 6K BLK S2810                                      ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,92                  ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,4CM62               ,SI RDVD 760                                                 ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,7         
DLAKL,DMI       ,DELL           ,4DKY8               ,CTRG TONR 9K BLK C5765                                      ,0         ,8                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
